Id,indegree,outdegree,Degree,clustering,componentnumber,strongcompnum,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree
George Rogers Clark,58,39,97,0.00301,0,74,4,0.453815,0.587021,9364.583333,111,64,175
Arthur St. Clair,33,49,82,0.002163,0,74,5,0.480851,0.638938,8266.75,56,117,173
George Washington,5,4,9,0.089286,0,74,6,0.330409,0.386578,3793.25,15,7,22
Thomas Jefferson,15,8,23,0.033333,0,74,5,0.325648,0.393215,2557,31,20,51
John Campbell,1,1,2,0,0,74,5,0.314763,0.35413,1081,1,1,2
Josiah Harmar,5,8,13,0.063636,0,74,6,0.34139,0.413127,1015.083333,5,44,49
Henry Knox,7,4,11,0.125,0,74,6,0.335312,0.392478,883.833333,63,21,84
John Dickinson,6,4,10,0.02381,0,74,7,0.260369,0.304952,573,22,5,27
R. B. Lernoult,1,2,3,0,0,31,2,0.75,0.833333,342,1,2,3
Isaac Craig,1,2,3,0,0,74,4,0.375415,0.400442,298.25,1,4,5
John Todd,4,2,6,0.2,0,74,5,0.320113,0.366667,230,4,9,13
Inhabitants of Vincennes,1,2,3,0,0,40,1,1,1,228,1,2,3
Winthrop Sargent,1,4,5,0.15,0,74,7,0.251111,0.28858,226,2,4,6
George Slaughter,5,2,7,0.02381,0,74,6,0.249448,0.284218,127,7,5,12
Henry Hamilton,2,1,3,0,0,30,1,1,1,116,2,1,3
Thomas Nelson,3,1,4,0.083333,0,12,1,1,1,114,4,1,5
Patrick Henry,1,5,6,0.3,0,74,5,0.31831,0.372566,113,4,12,16
Edward Hand,2,2,4,0.333333,0,74,5,0.314763,0.357817,113,3,2,5
Judge Symmes,2,1,3,0.5,0,74,6,0.325648,0.370354,109,2,1,3
Leonard Helm,1,2,3,0,0,74,5,0.314763,0.357817,107,1,4,5
Charles Thomson,1,2,3,0,0,74,6,0.331378,0.380678,33.75,1,3,4
John Montgomery,1,3,4,0.333333,0,122,5,0.322946,0.373684,5,1,5,6
Geoffrey Linctot,1,3,4,0.333333,0,133,5,0.322946,0.373684,5,1,6,7
John Rogers,2,3,5,0.333333,0,74,5,0.321023,0.371091,2.5,2,4,6
Daniel Brodhead,2,2,4,0.5,0,74,5,0.320113,0.366667,2,2,7,9
Jonathan Clark,4,0,4,0.25,0,24,0,0,0,0,12,0,12
General Butler,2,1,3,1,0,74,6,0.325648,0.370354,0,7,4,11
Judge Turner,1,1,2,0,0,74,6,0.325648,0.370354,0,6,1,7
Oliver Pollock,3,0,3,0.333333,0,17,0,0,0,0,5,0,5
Judge Parsons and Judge Varnum,1,1,2,0,0,74,6,0.325648,0.370354,0,5,1,6
Major Hamtramck,2,1,3,1,0,74,6,0.325648,0.370354,0,3,2,5
Governor Shelby,2,0,2,0.5,0,47,0,0,0,0,3,0,3
Israel Ludlow,1,0,1,0,0,57,0,0,0,0,3,0,3
Edmund Randolph,1,0,1,0,0,49,0,0,0,0,3,0,3
Anthony Wayne,1,1,2,0,0,74,6,0.325648,0.370354,0,3,2,5
Governor of Virginia,2,0,2,1,0,72,0,0,0,0,2,0,2
Major Wyllys,2,0,2,0,0,68,0,0,0,0,2,0,2
Secretary of State,2,0,2,0.5,0,5,0,0,0,0,2,0,2
Guy Carleton,2,0,2,0,0,46,0,0,0,0,2,0,2
Benjamin Harrison,2,1,3,1,0,74,5,0.313019,0.351917,0,2,1,3
Board of Treasury,1,0,1,0,0,73,0,0,0,0,2,0,2
Brigadier-General Scott,1,0,1,0,0,58,0,0,0,0,2,0,2
Alexander Hamilton,1,0,1,0,0,56,0,0,0,0,2,0,2
Colonel Sproat,1,0,1,0,0,54,0,0,0,0,2,0,2
John Brown,1,0,1,0,0,53,0,0,0,0,2,0,2
John Armstrong,1,1,2,1,0,74,7,0.249448,0.275306,0,2,1,3
Oliver Wolcott,1,1,2,0,0,74,6,0.325648,0.370354,0,2,1,3
John Clark,1,1,2,0.5,0,25,1,1,1,0,2,1,3
William Harrod,1,0,1,0,0,42,0,0,0,0,2,0,2
William Preston,1,0,1,0,0,10,0,0,0,0,2,0,2
William Fleming,1,0,1,0,0,18,0,0,0,0,2,0,2
Robert Morris,1,1,2,0,0,74,8,0.20696,0.229214,0,1,1,2
Richard Henry Lee,1,0,1,0,0,65,0,0,0,0,1,0,1
Inhabitants of the west side of the Ohio River,1,0,1,0,1,77,0,0,0,0,1,0,1
Francis Johnston,1,0,1,0,0,64,0,0,0,0,1,0,1
Thomas Mifflin,1,0,1,0,0,63,0,0,0,0,1,0,1
"John Armstrong, Jr.",1,1,2,0.5,0,74,7,0.252796,0.27914,0,1,1,2
Pennsylvania Delegates to U.S. Congress,1,0,1,0,0,0,0,0,0,0,1,0,1
James Gardoqui,1,1,2,0,0,74,6,0.325648,0.370354,0,1,1,2
Samuel H. Parsons,1,0,1,0,0,71,0,0,0,0,1,0,1
Judge Varnum,1,0,1,0,0,70,0,0,0,0,1,0,1
Ebenezer Zane,1,0,1,0,0,69,0,0,0,0,1,0,1
John Jay,1,0,1,0,0,67,0,0,0,0,1,0,1
Jean Baptiste du Coigne,1,0,1,0,0,66,0,0,0,0,1,0,1
William St. Clair,1,1,2,0,0,74,6,0.325648,0.370354,0,1,2,3
Attorney-General,1,0,1,0,0,62,0,0,0,0,1,0,1
Major Murray,1,0,1,0,0,61,0,0,0,0,1,0,1
Judges,1,0,1,0,0,60,0,0,0,0,1,0,1
French Inhabitants,1,0,1,0,0,59,0,0,0,0,1,0,1
Thomas Fitzsimmons,1,1,2,0,0,74,6,0.325648,0.370354,0,1,1,2
Colonel Darke,1,0,1,0,0,2,0,0,0,0,1,0,1
Civil Magistrates and Military Officers at Gallipolis,1,0,1,0,2,96,0,0,0,0,1,0,1
Committee of Kentucky,1,0,1,0,0,55,0,0,0,0,1,0,1
James Wilkinson,1,1,2,0,0,74,6,0.325648,0.370354,0,1,2,3
County Lieutenants,1,0,1,0,0,52,0,0,0,0,1,0,1
Samuel Hodgdon,1,0,1,0,0,51,0,0,0,0,1,0,1
Ensign Tillinghast,1,0,1,0,0,50,0,0,0,0,1,0,1
Edmund M. Butler,1,1,2,0,0,74,6,0.325648,0.370354,0,1,1,2
Luke Decker,1,0,1,0,0,48,0,0,0,0,1,0,1
Captain Pierce,1,0,1,0,0,7,0,0,0,0,1,0,1
Judge McMillan,1,0,1,0,0,6,0,0,0,0,1,0,1
Joshua Coit,1,0,1,0,0,8,0,0,0,0,1,0,1
Timothy Pickering,1,1,2,0,0,74,6,0.325648,0.370354,0,1,1,2
Judge Addison,1,0,1,0,0,4,0,0,0,0,1,0,1
Judges of Hamilton County,1,0,1,0,0,3,0,0,0,0,1,0,1
Secretary of the Treasury,1,0,1,0,3,101,0,0,0,0,1,0,1
Samuel Brown,1,0,1,0,0,44,0,0,0,0,1,0,1
Convention of Virginia,1,0,1,0,4,105,0,0,0,0,1,0,1
House of Delegates,1,0,1,0,5,107,0,0,0,0,1,0,1
David Shepherd,1,0,1,0,0,41,0,0,0,0,1,0,1
Jean B. Laffont,1,0,1,0,0,37,0,0,0,0,1,0,1
Certain Traders,1,0,1,0,0,36,0,0,0,0,1,0,1
John Hite,1,0,1,0,0,118,0,0,0,0,1,0,1
George Brinker,1,0,1,0,0,117,0,0,0,0,1,0,1
Chief of the Winnebago,1,0,1,0,0,35,0,0,0,0,1,0,1
Fox Indians,1,0,1,0,0,34,0,0,0,0,1,0,1
Virginia Delegates in Congress,1,0,1,0,0,43,0,0,0,0,1,0,1
People of Illinois,1,0,1,0,0,29,0,0,0,0,1,0,1
George Moorehead,1,0,1,0,6,124,0,0,0,0,1,0,1
Jehu Hay,1,0,1,0,0,126,0,0,0,0,1,0,1
George Mason,1,0,1,0,0,33,0,0,0,0,1,0,1
William Myers,1,0,1,0,0,32,0,0,0,0,1,0,1
Mason Bolton,1,0,1,0,0,28,0,0,0,0,1,0,1
Chiefs of  Potawatomi,1,0,1,0,0,116,0,0,0,0,1,0,1
Nanaloibi,1,0,1,0,0,27,0,0,0,0,1,0,1
People of Kaskaskia,1,0,1,0,0,26,0,0,0,0,1,0,1
Treasurer of Virginia,1,0,1,0,7,131,0,0,0,0,1,0,1
Isaac Hite,1,0,1,0,0,115,0,0,0,0,1,0,1
Militia,1,0,1,0,0,23,0,0,0,0,1,0,1
J. P. Le Gras,1,0,1,0,0,135,0,0,0,0,1,0,1
Silas Martin,1,0,1,0,0,22,0,0,0,0,1,0,1
John Donne,1,0,1,0,0,21,0,0,0,0,1,0,1
Jean Girault,1,0,1,0,0,20,0,0,0,0,1,0,1
William 05o,1,0,1,0,0,19,0,0,0,0,1,0,1
Joseph Martin,1,0,1,0,0,45,0,0,0,0,1,0,1
Thomas Walker,1,1,2,1,0,74,5,0.313889,0.353392,0,1,1,2
Soldiers,1,0,1,0,8,153,0,0,0,0,1,0,1
Evan Baker,1,0,1,0,0,134,0,0,0,0,1,0,1
John Dodge,1,2,3,0.5,0,74,6,0.247807,0.281268,0,1,2,3
Speaker of the House of Delegates,1,0,1,0,0,9,0,0,0,0,1,0,1
the Governor of Virginia,1,0,1,0,0,39,0,0,0,0,1,0,1
Luzerne,1,0,1,0,0,38,0,0,0,0,1,0,1
Joseph Crockett,1,1,2,0,0,74,6,0.246187,0.273894,0,1,1,2
the Board of War,1,0,1,0,0,1,0,0,0,0,1,0,1
Archibald Lochry,1,1,2,0,0,74,5,0.313019,0.351917,0,1,1,2
Joseph Reed,1,1,2,0,0,74,5,0.313019,0.351917,0,1,1,2
Inhabitants of Monongalia County,1,0,1,0,0,16,0,0,0,0,1,0,1
Officers of Pennsylvania and Virginia,1,0,1,0,0,15,0,0,0,0,1,0,1
Major Cracraft,1,0,1,0,0,14,0,0,0,0,1,0,1
Colonel Davics,1,0,1,0,9,173,0,0,0,0,1,0,1
Kentucky County Commissioners,1,0,1,0,0,13,0,0,0,0,1,0,1
Leighton Wood,1,0,1,0,0,11,0,0,0,0,1,0,1
Richard Butler and Arthur Lee,0,1,1,0,0,75,8,0.208029,0.231589,0,0,1,1
John McDowell,0,1,1,0,0,76,8,0.208029,0.231589,0,0,1,1
John Emerson,0,1,1,0,1,78,1,1,1,0,0,1,1
John Armstrong Jr.,0,1,1,0,0,79,7,0.25618,0.286195,0,0,1,1
John Doughty,0,2,2,0,0,80,7,0.253898,0.284733,0,0,2,2
Philip Liebert,0,1,1,0,0,81,7,0.25618,0.286195,0,0,1,1
William Knox,0,1,1,0,0,82,6,0.326648,0.371491,0,0,1,1
Isaac B. Dunn,0,1,1,0,0,83,6,0.326648,0.371491,0,0,1,1
R. K. Meade,0,1,1,0,0,84,6,0.326648,0.371491,0,0,1,1
Bartholomew Tardiveau,0,1,1,0,0,85,6,0.326648,0.371491,0,0,1,1
James Wilson,0,1,1,0,0,86,6,0.326648,0.371491,0,0,1,1
Judge Parsons,0,1,1,0,0,87,6,0.326648,0.371491,0,0,1,1
Paul Jones,0,1,1,0,0,88,6,0.326648,0.371491,0,0,1,1
P. Gibault,0,1,1,0,0,89,6,0.326648,0.371491,0,0,1,1
Chevalier Duportail,0,1,1,0,0,90,6,0.326648,0.371491,0,0,1,1
Colonel Gouvion,0,1,1,0,0,91,6,0.326648,0.371491,0,0,1,1
Joel Barlow,0,1,1,0,0,92,6,0.326648,0.371491,0,0,2,2
Judges Symmes and Turner,0,1,1,0,0,93,6,0.326648,0.371491,0,0,1,1
Captain de Luziere,0,1,1,0,0,94,6,0.326648,0.371491,0,0,1,1
Lieutenant Denny,0,1,1,0,0,95,7,0.25618,0.286195,0,0,1,1
Colonel Sargent,0,1,1,0,2,97,1,1,1,0,0,1,1
Major Ferguson,0,1,1,0,0,98,6,0.326648,0.371491,0,0,1,1
Tobias Lear,0,1,1,0,0,99,6,0.326648,0.371491,0,0,1,1
Rufus Putnam,0,1,1,0,0,100,7,0.252772,0.278885,0,0,1,1
William Bradford,0,1,1,0,3,102,1,1,1,0,0,1,1
Governor Gayoso,0,1,1,0,0,103,6,0.326648,0.371491,0,0,1,1
John B. Roy,0,1,1,0,0,104,1,1,1,0,0,1,1
Inhabitants of Kentucky,0,1,1,0,4,106,1,1,1,0,0,1,1
J. G. Jones and George Rogers Clark,0,1,1,0,5,108,1,1,1,0,0,1,1
Order of Council of Virginia,0,1,1,0,0,109,5,0.31405,0.353216,0,0,1,1
William Bailey Smith,0,1,1,0,0,110,5,0.31405,0.353216,0,0,2,2
Edward Abbott,0,1,1,0,0,111,1,1,1,0,0,1,1
"Gabriel Cerre """,0,1,1,0,0,112,5,0.31405,0.353216,0,0,1,1
H. Perrault,0,1,1,0,0,113,5,0.31405,0.353216,0,0,1,1
Joseph Cesirre,0,1,1,0,0,114,5,0.31405,0.353216,0,0,1,1
Joseph Bowman,0,5,5,0,0,119,5,0.321526,0.375141,0,0,6,6
James Willing,0,1,1,0,0,120,5,0.31405,0.353216,0,0,2,2
John Bowman,0,1,1,0,0,121,5,0.31405,0.353216,0,0,2,2
Executive Council of Virginia,0,2,2,0.5,0,123,5,0.315934,0.358841,0,0,2,2
David Lyster,0,1,1,0,6,125,1,1,1,0,0,1,1
Alexander Macomb,0,2,2,0,0,127,2,0.75,0.833333,0,0,2,2
James Patten,0,1,1,0,0,128,5,0.31405,0.353216,0,0,1,1
Robert George,0,5,5,0.25,0,129,5,0.318436,0.372222,0,0,6,6
Richard Brashers,0,1,1,0,0,130,5,0.31405,0.353216,0,0,1,1
Clark,0,1,1,0,7,132,1,1,1,0,0,1,1
William Shannon,0,4,4,0.166667,0,136,5,0.32493,0.378736,0,0,4,4
John Page,0,1,1,0,0,137,6,0.244111,0.267105,0,0,1,1
Thomas Quirk,0,2,2,0.5,0,138,5,0.316804,0.36029,0,0,2,2
John Beckley,0,1,1,0,0,139,5,0.31405,0.353216,0,0,1,1
James Shelby,0,1,1,0,0,140,5,0.31405,0.353216,0,0,2,2
Robert Todd,0,1,1,0,0,141,5,0.31405,0.353216,0,0,1,1
Benjamin Logan,0,1,1,0,0,142,5,0.31405,0.353216,0,0,1,1
Levi Todd,0,1,1,0,0,143,5,0.31405,0.353216,0,0,1,1
George Meriwether,0,1,1,0,0,144,5,0.31405,0.353216,0,0,1,1
Grant of Land,0,1,1,0,0,145,5,0.31405,0.353216,0,0,1,1
Registration of Land Grant,0,1,1,0,0,146,5,0.31405,0.353216,0,0,1,1
Pierre Prevost,0,1,1,0,0,147,5,0.31405,0.353216,0,0,1,1
Inhabitants of Boonesborough,0,1,1,0,0,148,5,0.31405,0.353216,0,0,1,1
Petition of Inhabitants of Boonesborough,0,1,1,0,0,149,5,0.31405,0.353216,0,0,1,1
Petition of Inhabitants of Bryan's Station,0,1,1,0,0,150,5,0.31405,0.353216,0,0,1,1
Charles Mynn Thruston,0,1,1,0,0,151,5,0.31405,0.353216,0,0,1,1
Petition of French Magistrates,0,1,1,0,0,152,5,0.31405,0.353216,0,0,1,1
Land Grants,0,1,1,0,8,154,1,1,1,0,0,1,1
Battist,0,1,1,0,0,155,5,0.31405,0.353216,0,0,1,1
Pierre Dorion,0,1,1,0,0,156,5,0.31405,0.353216,0,0,1,1
Trustees at Fort Jefferson,0,1,1,0,0,157,5,0.31405,0.353216,0,0,1,1
Proposed Land Grant,0,1,1,0,0,158,5,0.31405,0.353216,0,0,1,1
J. M. P. Le Gras,0,2,2,0,0,159,5,0.315789,0.359064,0,0,3,3
Richard McCarty,0,1,1,0,0,160,6,0.244111,0.267105,0,0,1,1
John Williams,0,1,1,0,0,161,5,0.31405,0.353216,0,0,1,1
Richard Harrison,0,1,1,0,0,162,5,0.31405,0.353216,0,0,1,1
John Gibson,0,2,2,0.5,0,163,5,0.37013,0.398246,0,0,11,11
General Steuben,0,1,1,0,0,164,5,0.31405,0.353216,0,0,1,1
Officers of Berkley County,0,1,1,0,0,165,6,0.247289,0.275877,0,0,1,1
Officers of Greenbrier County,0,1,1,0,0,166,6,0.247289,0.275877,0,0,1,1
Garret Van Meter,0,1,1,0,0,167,6,0.247289,0.275877,0,0,1,1
James Sullivan,0,1,1,0,0,168,5,0.31405,0.353216,0,0,2,2
John Floyd,0,2,2,1,0,169,5,0.321127,0.367836,0,0,7,7
Joseph Hunter,0,1,1,0,0,170,5,0.31405,0.353216,0,0,1,1
Richard Peters,0,1,1,0,0,171,5,0.31405,0.353216,0,0,1,1
John Bailey,0,1,1,0,0,172,7,0.201058,0.221575,0,0,1,1
William Croghan,0,1,1,0,9,174,1,1,1,0,0,1,1
Arthur Campbell,0,1,1,0,0,175,5,0.31405,0.353216,0,0,1,1
Kentucky County-lieutenants,0,1,1,0,0,176,5,0.31405,0.353216,0,0,1,1